,allele1_PLA_Count_1,allele1_PLA_Count_2,allele1_PLA_Count_3,allele1_PLA_Count_4,allele1_PLA_Count_5,allele1_PLA_Count_6,allele1_PLA_Count_7,allele1_PLA_Count_8,allele1_PLA_Count_9,allele1_PLA_Count_10,allele2_PLA_Count_1,allele2_PLA_Count_2,allele2_PLA_Count_3,allele2_PLA_Count_4,allele2_PLA_Count_5,allele2_PLA_Count_6,allele2_PLA_Count_7,allele2_PLA_Count_8,allele2_PLA_Count_9,allele2_PLA_Count_10
236,4517,53,4307,5673,4479,5813,2005,3130,3530,0,3868,2696,456,3588,2842,2218,2134,1354,2537,0
237,412,148,726,601,367,953,643,0,0,0,563,1162,738,567,1315,183,846,589,283,0
238,770,1010,1212,783,370,1628,392,473,672,0,1584,537,750,1106,1386,134,717,847,0,0
239,8727,5109,5327,376,10510,7880,2546,1866,89,0,11697,3516,3398,879,1264,672,848,3435,0,0
240,224,173,106,208,147,240,143,84,378,0,142,578,260,47,161,390,342,0,0,0
241,501,642,301,158,680,778,653,131,146,0,588,898,184,73,172,678,441,0,0,0
242,697,447,518,4120,1037,390,1235,289,0,0,1460,1027,1370,350,511,1075,344,1123,803,0
243,186,296,84,65,1512,1732,0,0,0,0,243,701,60,182,726,802,570,275,0,0
244,2761,5523,2315,821,4354,1200,76,2521,2397,0,2059,512,1574,862,583,2544,2986,4809,0,0
245,20,90,59,109,25,0,0,0,0,0,90,68,201,30,0,0,0,0,0,0
246,407,1047,75,562,392,103,118,559,0,0,223,658,131,518,478,729,498,1160,20,0
247,396,219,224,360,234,237,141,157,0,0,273,141,250,90,156,232,114,530,0,0
248,56,102,77,70,27,52,89,0,0,0,73,173,108,52,34,85,0,0,0,0
249,609,483,799,505,1407,2067,1419,0,0,0,202,564,1571,1224,460,850,247,783,901,0
250,255,824,763,155,739,1122,96,658,0,0,107,200,816,168,362,393,573,104,1064,0
251,837,1038,1516,1278,540,2031,2309,1166,0,0,272,563,876,1477,758,1242,1862,881,0,0
252,141,1026,316,290,940,400,1096,166,1287,0,298,110,174,1176,214,687,1395,495,0,0
253,3456,2908,976,7223,1893,2424,1615,2174,0,0,6490,875,3706,2191,1685,3706,6278,198,452,0
254,136,1101,101,1050,429,187,321,276,124,0,260,298,1103,701,389,1588,505,677,0,0
255,57,45,86,4913,62,526,119,426,0,0,51,526,53,25,187,193,0,0,0,0
256,190,430,32,71,40,655,74,0,0,0,49,79,614,313,62,98,452,369,421,0
257,2121,14,1803,1957,1667,5007,806,2939,0,0,2532,2636,2226,1391,2131,3179,2842,1766,0,0
258,122,38,142,146,56,57,0,0,0,0,86,98,14,84,51,43,0,0,0,0
259,75,103,168,121,480,103,51,82,181,0,120,121,65,98,33,149,595,144,0,0
260,78,121,138,24,0,0,0,0,0,0,42,41,270,127,12,0,0,0,0,0
261,1978,1599,519,506,2538,1471,2261,2549,0,0,323,538,1151,709,1769,266,1937,1688,1619,0
